id,created_at,date,money,bank,who,content,class
1,,2023/3/1,288,現金,-,公司飲料代墊收款,代墊收款
2,,2023/3/1,-455,大戶卡,-,公司飲料代墊,代墊
3,,2023/3/1,455,現金,-,公司飲料代墊收款,代墊收款
4,,2023/3/1,-3000,大戶(軒),-,好市多敏敏乳酪球*10,代墊
5,,2023/3/1,3000,現金,-,好市多敏敏代墊收款,代墊收款
6,,2023/3/1,-255,大戶(軒),一起,好市多巧克力,餐費
7,,2023/3/1,-100,現金,霖,午餐-白油炒手麵,餐費
8,,2023/3/1,-1998,兆豐(霖),一起,網路費,網路
9,,2023/2/28,-150,嘟嘟卡,軒,機車加油,交通
10,,2023/2/28,-327,現金,一起,拜阿公的水果,交際
11,,2023/2/28,-90,現金,一起,拜阿公的紙錢,交際
12,,2023/2/28,-65,大戶卡,霖,茶湯會,飲料
13,,2023/2/28,-378,大戶卡,一起,午餐-麥當勞,餐費
14,,2023/2/28,-680,大戶(軒),一起,瓦斯*1,瓦斯
15,,2023/2/28,-28000,華南(軒),-,轉去大戶霖,洗錢
16,,2023/2/28,28000,大戶(霖),-,華南軒轉來,洗錢
17,,2023/2/28,-2148,大戶(軒),一起,晚餐-兄弟大飯店鐵板燒,餐費
18,,2023/2/27,-138,大戶卡,一起,小黃鴨刮毛神器,家用
19,,2023/2/27,-45,大戶卡,一起,水,飲料
20,,2023/2/27,-300,現金,一起,悠遊卡儲值,交通
21,,2023/2/27,-500,現金,一起,東港伴手禮,交際
22,,2023/2/27,-135,現金,一起,計程車,交通
23,,2023/2/27,-130,現金,一起,計程車(薛->火車站),交通
24,,2023/2/27,-1179,現金,一起,請薛家吃飯,交際
25,,2023/2/27,-785,現金,一起,晚餐-釜亭,餐費
26,,2023/2/27,-160,現金,一起,摩托車4天停車費,交通
27,,2023/2/27,-35,現金,霖,蜂蜜檸檬,飲料
28,,2023/2/26,-135,現金,一起,計程車,交通
29,,2023/2/26,-50,現金,霖,彈珠檯,娛樂
30,,2023/2/26,-50,現金,軒,摸貓給罐罐費,娛樂
31,,2023/2/26,-39,大戶卡,一起,水,飲料
32,,2023/2/26,-275,現金,一起,晚餐-丹丹漢堡,餐費
33,,2023/2/26,-65,大戶卡,霖,茶湯會,飲料
34,,2023/2/26,-1060,大戶卡,一起,消夜-凌晨食堂,餐費
35,,2023/2/26,-530,大戶卡,一起,請薛吃凌晨食堂,交際
36,,2023/2/25,-211,現金,一起,早餐-老江紅茶牛乳,餐費
37,,2023/2/25,-140,大戶卡,軒,圓梳,家用
38,,2023/2/25,-2860,大戶卡,-,姊金佳佳冠碩午餐代墊,代墊
39,,2023/2/25,-1065,大戶卡,一起,午餐-RARA餐酒館,餐費
40,,2023/2/25,2860,現金,-,姊金佳佳冠碩午餐代墊收款,代墊收款
41,,2023/2/25,-100,現金,一起,捌捌陸園區門票,娛樂
42,,2023/2/25,-60,大戶卡,軒,黃湘雲貓咪吊飾,交際
43,,2023/2/25,-30,現金,一起,停車費(金爸車),交通
44,,2023/2/25,-50,現金,一起,點心-小司康*6,餐費
45,,2023/2/25,-2080,現金,一起,晚餐-姊心中高雄最好吃餐廳,餐費
46,,2023/2/25,-60,現金,軒,御典茶,飲料
47,,2023/2/25,-60,現金,一起,買給薛御典茶,交際
48,,2023/2/25,-39,現金,一起,水,飲料
49,,2023/2/24,-165,大戶卡,一起,龜記,飲料
50,,2023/2/24,-288,大戶卡,-,公司飲料代墊,代墊
51,,2023/2/24,-1226,大戶卡,一起,住宿-高雄美麗島福憩旅店,娛樂
52,,2023/2/24,-139,大戶卡,一起,早餐-711,餐費
53,,2023/2/24,-100,現金,軒,午餐-高鐵便當,餐費
54,,2023/2/24,-200,現金,一起,儲值悠遊卡,交通
55,,2023/2/24,-60,大戶卡,一起,點心-馬可乳酪麵包,餐費
56,,2023/2/24,-28,大戶卡,一起,水,飲料
57,,2023/2/24,-115,大戶卡,一起,八耀和茶,飲料
58,,2023/2/24,-1000,現金,一起,晚餐-東東火鍋,餐費
59,,2023/2/24,2389,兆豐(霖),-,信鼎過年加班,額外收入
60,,2023/2/23,-19810,Line Bank,-,敏敏領錢,洗錢
61,,2023/2/23,-190,大戶(軒),-,敏敏領錢,洗錢
62,,2023/2/23,-19890,Bankee,-,敏敏領錢,洗錢
63,,2023/2/23,-19874,Line Bank,-,敏敏領錢,洗錢
64,,2023/2/23,-20000,Bankee,-,敏敏領錢,洗錢
65,,2023/2/23,-236,大戶(軒),-,敏敏領錢,洗錢
66,,2023/2/23,-855,大戶卡,-,公司午餐代墊,代墊
67,,2023/2/23,-815,大戶卡,-,公司午餐代墊,代墊
68,,2023/2/23,-370,大戶卡,-,公司飲料代墊,代墊
69,,2023/2/23,370,現金,-,公司飲料代墊收款,代墊收款
70,,2023/2/23,1670,現金,-,公司午餐代墊收款,代墊收款
71,,2023/2/23,-19,大戶卡,霖,機車停車費,交通
72,,2023/2/23,-400,現金,霖,剪頭髮,衣物
